file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0229_0069_582203_to_584339,ད་ལྟ་འདི་ལོ་གསུམ་ཡང་འགྲོ་ཡོད་མ་རེད་དེ།  ,da lta 'di lo gsum yang 'gro yod ma red de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0229_0069_582203_to_584339.wav,STT_NS,3,40,2.136,wav16k/STT_NS_M0229_0069_582203_to_584339.wav,ད་ལྟ་འདི་ལོ་གསུམ་ཡང་འགྲོ་ཡོད་མ་རེད་དེ།
STT_NS_M0218_0086_741741_to_744040,སེམས་པ་གཅུན་ཡ་ལ་ད་དང་པོ་ང་ཚོ་དང་པོ།  ,sems pa gcun ya la da dang po nga tsho dang po/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0218_0086_741741_to_744040.wav,STT_NS,3,37,2.299,wav16k/STT_NS_M0218_0086_741741_to_744040.wav,སེམས་པ་གཅོན་ཡ་ལ་ད་དང་པོ་ང་ཚོ་དང་པོ།
STT_TT00622_0329_2347056_to_2351288,ནམ་ཞིག་རྒྱལ་བ་རིན་པོ་ཆེ་མ་བཞུགས་པའི་མཚམས་ཅིག་སླེབས་སོང་ན། ཨེ་ནས་ང་རང་ཚོས་བསམ་བློ་བཏང་དགོས་རེད་ཟེ།  ,nam zhig rgyal ba rin po che ma bzhugs pa'i mtshams cig slebs song na/_e nas nga rang tshos bsam blo btang dgos red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00622_0329_2347056_to_2351288.wav,STT_TT,3,99,4.232,wav16k/STT_TT00622_0329_2347056_to_2351288.wav,ནམ་ཞིག་རྒྱལ་བ་རིན་པོ་ཆེ་མ་བཞུགས་པའི་མཚམས་ཅིག་སླེབས་སོང་ན། ཨེ་ནས་ང་རང་ཚོས་བསམ་བློ་གཏང་དགོས་རེད་ཟེ།
STT_NS_M0227_0667_5200708_to_5208387,སོ་སོ་སྐྱིད་པོ་དཔེ་ཡོད་དུས་ཡོད་བ། ཨེ་ནས་སོ་སོ་ཀ་ཅི་དཀའ་ངལ་གང་ཚང་ཁྱེར་ནས་སླེབས་རཱ། ཨེ་ནས་ང་རང་ཡང་མ་སྐྱིད་པ་འདྲ་བོ་བཟོ་ཡ་ཅིག་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་བྱེད་ཀི་འདུག་ད་རཱ།  ,so so skyid po dpe yod dus yod ba/_e nas so so ka ci dka' ngal gang tshang khyer nas slebs rA/_e nas nga rang yang ma skyid pa 'dra bo bzo ya cig yod ba/_e 'dra'i 'dra bo byed ki 'dug da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0227_0667_5200708_to_5208387.wav,STT_NS,3,166,7.679,wav16k/STT_NS_M0227_0667_5200708_to_5208387.wav,་ས་སོ་སོ་སྐྱིད་པོ་དཔེ་ཡོད་དུས་ཡོད་བ། ཨེ་ནས་སོ་སོ་ཀ་ཅི་དཀའ་ངལ་གང་ཚང་ཁྱེར་ནས་སླེབས་རཱ། ཨེ་ནས་ང་རང་ཡང་མ་སྐྱིད་བ་འདྲ་བོ་བཟོ་ཡ་ཅིག་ཡོད་བ། ཨེ་འདྲའི་འདྲ་བོ་བྱེད་ཀི་འདུག་ད་རཱ།
STT_TT00624_0227_1510548_to_1519172,ནང་གི་སེམས་རྒྱུད་ཀི་ཞི་བདེ་བརྒྱུད་ནས་ཞི་བདེ་བཟོ་ཡ་རེད་མ་གཏོགས། སེམས་རྒྱུད་ཆགས་སྡང་གི་གཞན་དབང་ལ་བསྡད་ནས་ཞི་བདེ་ཡོང་ཐུབ་ཡ་རྩ་བ་ཉིད་ནས་ཡོད་མ་རེད་ད།  ,nang gi sems rgyud ki zhi bde brgyud nas zhi bde bzo ya red ma gtogs/_sems rgyud chags sdang gi gzhan dbang la bsdad nas zhi bde yong thub ya rtsa ba nyid nas yod ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00624_0227_1510548_to_1519172.wav,STT_TT,3,146,8.624,wav16k/STT_TT00624_0227_1510548_to_1519172.wav,ནང་གི་སེམས་རྒྱུད་ཀི་ཞི་བདེ་བརྒྱུད་ནས། ཞི་བདེ་བཟོ་ཡ་རེད་མ་གཏོགས། སེམས་རྒྱུད་ཆགས་སྡང་གི་གཞན་དབང་ལ་བསྡད་ནས། ཞི་བདེ་ཡོང་ཐུབ་ཡ་རྩ་བ་ཉིད་ནས་ཡོད་མ་རེད་ད།
STT_NS_M0231_0624_4574018_to_4582892,འདུག་སེ་བྱས་ནས་ཁོང་ཚོ་གིས་ག་ཚོད་མི་དགོས་ག་ཚོད་ཁྱེད་རང་ལ་ཕོག་ཐུག་ཕོག་ཐུག་ཤོར་ན་བསམས་ནས་ལས་ཀ་དེ་འདྲ་བྱེད་ཀྱི་ཡོད་བ་ཡིན་ན། ཁྱེད་རང་གིས་ཕ་གི་རང་ལ་དེ་འདྲ་རང་བྱས་པ་ཡིན་ན།  ,'dug se byas nas khong tsho gis ga tshod mi dgos ga tshod khyed rang la phog thug phog thug shor na bsams nas las ka de 'dra byed kyi yod ba yin na/_khyed rang gis pha gi rang la de 'dra rang byas pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0231_0624_4574018_to_4582892.wav,STT_NS,3,166,8.874,wav16k/STT_NS_M0231_0624_4574018_to_4582892.wav,འདུག་སེ་བྱས་ནས་ཁོ་ཚོ་གིས་ག་ཚོད་མི་དགོས་ག་ཚོད་ཁྱེད་རང་ལ་ཕོག་ཐུག་ཕོག་ཐུག་ཤོར་ན་བསམ་ནས་ལས་ཀ་དེ་འདྲའི་བྱེད་ཀི་ཡོད་བ་ཡིན་ན། ཁྱེད་རང་གིས་ཕ་གི་རང་ལ་དེ་འདྲའི་རང་བྱས་བ་ཡིན་ན།
STT_TT00626_0151_1082670_to_1089556,དེ་འདྲའི་སོང་པ་ཡིན་དུས་ཙ་ནས། ཨོ་རྒྱུ་མཚན་དེ་འདྲ་གི་ཐོག་ནས། ང་རེ་ཡེ་ད། སོ་སོས་ཡེ་འདུག་སེ་ཉམས་ལེན་བྱས། དེ་ག་ནང་བཞིན་གི་ཅིག་ཨེ།  ,de 'dra'i song pa yin dus tsa nas/_o rgyu mtshan de 'dra gi thog nas/_nga re ye da/_so sos ye 'dug se nyams len byas/_de ga nang bzhin gi cig e/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00626_0151_1082670_to_1089556.wav,STT_TT,3,126,6.886,wav16k/STT_TT00626_0151_1082670_to_1089556.wav,དེ་འདྲའི་སོང་བ་ཡིན་དུས་ཙ་ནས། ཨོ་རྒྱུ་མཚན་དེ་འདྲའ་གི་ཐོག་ནས། ང་རས་ད་ སོ་སོས་ཡེ་འདུག་སེ་ཉམས་ལེན་བྱས། ད་ག་ནང་བཞིན་གི་ཅིག་ཨེ།
STT_TT00621_0663_4733813_to_4743575,གང་ཡིན་ན་མིན་ན་ངས་འདི་བཤད་ཀི་ཡོད། ཨེ་ནས་ཁ་ཤས་ཀིས་ང་ཏཱ་ལའི་བླ་མ་རྫུན་མ་རེད་ཟེ་བྱས་ནས་ཟེར་མྱི་དེ་ཡོང་གི་ཡོད་རེད། ཨོ་ད་ངས་དེ་ཟེར་གི་ཡོད། ཨེ་ནས་ཨེ་སྐུ་འདུན་ ,gang yin na min na ngas 'di bshad ki yod/_e nas kha shas kis nga tA la'i bla ma rdzun ma red ze byas nas zer myi de yong gi yod red/_o da ngas de zer gi yod/_e nas e sku 'dun _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00621_0663_4733813_to_4743575.wav,STT_TT,3,153,9.762,wav16k/STT_TT00621_0663_4733813_to_4743575.wav,གང་ཡིན་ནས་མིན་ན། ངས་དེ་བཤད་ཀི་ཡོད། ཨེ་ནས། ཁ་ཤས་ཀིས། ང་ཏཱ་ལའི་བླ་མ་རྫུན་མ་རེད་ཟེ་བྱས་ནས་ཟེར་ངེ་དེ་འདྲའི་ཡོང་གི་ཡོད་རེད། ཨོ་ད། ངས་དེ་ཟེར་གི་ཡོད། ཨེ་ནས། ཨེ། སྐུ་མདུན།
STT_NS_M0222_0509_3533011_to_3539325,ག་རེ་ལབ་དགོས་རེད། མི་མང་དེ་ཚོ་ཡང་ད་སོ་སོ་གི་ག་རེ་ལབ་དགོས་རཱ་ནོར་འཁྲུལ་ད་ཡོད་མ་རེད་རཱ་ཁ་ཤས་སྙིང་རྗེ་དངོས་གནས་ཁོ་རང་མིའི་སྐད་ཆ་དེ་ཚོ་ད།  ,ga re lab dgos red/_mi mang de tsho yang da so so gi ga re lab dgos rA nor 'khrul da yod ma red rA kha shas snying rje dngos gnas kho rang mi'i skad cha de tsho da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0222_0509_3533011_to_3539325.wav,STT_NS,3,135,6.314,wav16k/STT_NS_M0222_0509_3533011_to_3539325.wav,ག་ལབ་དགོས་རེད། མི་མང་དེ་ཚོ་ཡང་ད་སོ་སོ་གི་ག་ལབ་དགོས་རེད། ནོར་འཁྲུལ་ད་ཡོད་མ་རེད་རཱ། ཁ་ཤས་སྙིང་རྗེ་དངོས་གནས་ཁོ་རང་ད་མིའི་སྐད་ཆ་དེ་ཚོ་ད།
STT_NS_M0220_0003_7585_to_12312,ག་རེ་ལབ་དགོས་རེད་ད་སོ་སོ་སོ་སོ་ལ་དགའ་བོ་བྱེད་ཡ་དེ།  ,ga re lab dgos red da so so so so la dga' bo byed ya de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0220_0003_7585_to_12312.wav,STT_NS,3,52,4.727,wav16k/STT_NS_M0220_0003_7585_to_12312.wav,ག་རེ་ལབ་དགོས་རེད། ད་སོ་སོ་སོ་ལ་དགའ་བོ་བྱེད་ཡ་འདི།
